type,name,description,time_of_action,dop_info
change_access_opened_card_in_round,Прямой вопрос,"Выбери тип карт: До конца раунда в свой ход все должны открывать карту этого типа, если она ещё не открыта",one_round
copy_card,Непорочное зачатие,"Выбранный игрок любого пола оказывается беременным, это решает задачу продолжения рода",one_round
copy_card,Эликсир молодости,"Выбери игрока. Его возраст становится таким же, как на последней открытой карте биологии",one_round
change_card,Хорошие таблетки,"Сбрось открытую карту здоровья у любого игрока",one_round
change_card,Просроченные таблетки,"Замени открытую карту здоровья у любого игрока на случайную из колоды",one_round
change_card,Фейковый диплом,"Замени открытую карту профессии у любого игрока на случайную из колоды",one_round
change_card,Первым нашёл,"Забери себе любую открытую карту бункера. Теперь она считается как твой багаж",one_round
change_card,Ошибка в документах,"Выбери игрока. Его пол/гендер становится таким же, как на последней открытой карте биологии",one_round
change_card,Осмотрелись,"Замени любую открытую карту бункера на две случайные из колоды",one_round
change_card,Обмен карт,"Поменяйся всеми открытыми картами фактов с любым игроком",one_round
change_card,Обмен карт,"Поменяйся открытыми картами здоровья с любым игроком",one_round
change_card,Обмен карт,"Поменяйся открытыми картами хобби с любым игроком",one_round
change_card,Обмен карт,"Поменяйся открытыми картами багажа с любым игроком",one_round
change_card,Обмен карт,"Поменяйся открытыми картами биологии с любым игроком",one_round
change_card,Месть,"Забери все открытые карты багажа у всех, кто сейчас против тебя голосовал",one_round
change_card,Месть,"Отдай свою открытую карту здоровья любому, уто только что голосовал против тебя",one_round
change_card,Мне нужнее,"Забери себе открытую карту багажа у любого игрока",one_round
mixed_opened_card_players_by_type,Давайте на чистоту,"Собери все открытые карты фактов у неизгнанных игроков, перемешай и перераздай",one_round
mixed_opened_card_players_by_type,Давайте на чистоту,"Собери все открытые карты багажа у неизгнанных игроков, перемешай и перераздай",one_round
mixed_opened_card_players_by_type,Давайте на чистоту,"Собери все открытые карты хобби у неизгнанных игроков, перемешай и перераздай",one_round
mixed_opened_card_players_by_type,Давайте на чистоту,"Собери все открытые карты здоровья у неизгнанных игроков, перемешай и перераздай",one_round
mixed_opened_card_players_by_type,Давайте на чистоту,"Собери все открытые карты биологии у неизгнанных игроков, перемешай и перераздай",one_round
change_vote_balance,План Б,"Все должны переголосовать заново, выбирая других кандидатов",one_round
change_vote_balance,Отчаянная мера,"За игрока против которого проголосовал ты, учитывается только твой голос, но дважды",one_round
change_vote_balance,Компромат,"Удвойте голоса других за игрока. Против которого проголосовал ты, но твой голос не считается",one_round,Сыграй эту карту перед голосованием
change_vote_balance,Будь другом,"Выбери игрока. Он не голосует против тебя до конца игры.",all_time
change_vote_balance,Тишина,"Только ты говоришь вслух в этом раунде. Другие используют жесты и пантомиму до завершения голосования",one_round,На доверии игроков
change_vote_balance,Дискредитация,"Голос игрока, против которого ты проголосовал, не учитывается",one_round,Сыграй эту карту перед голосованием
change_vote_balance,Громкий голос,"Голос игрока, против которого ты проголосовал, считается за два, так же как и твой",one_round,Сыграй эту карту перед голосованием
take_one_card,Вторая профессия,"Получи и сразу открой ещё одну карту профессии",one_round,В финале используй одну любую из них
take_one_card,Больше подробностей,"Получи 2 карты фактов. Одну оставь себе, другую отдай любому игроку. Обе карты сразу открываются",one_round
repeat_last_special_card,Тоже так хочу,"Повтори эффект последней сыгранной карты особых условий",one_round
